wikidata,label
Q7712052,"The ABC of Love and Sex: Australia Style (John D. Lamond, 1978)"
Q4929111,"Blue Fin (Carl Schultz, 1978)"
Q2205409,"The Chant of Jimmie Blacksmith (Fred Schepisi, 1978)"
Q7742576,"The Irishman (Donald Crombie, 1978)"
Q3256662,"Little Boy Lost (Terry Bourke, 1978)"
Q6926348,"Mouth to Mouth (John Duigan, 1978)"
Q7019633,"Newsfront (Phillip Noyce, 1978)"
Q3369170,"Patrick (Richard Franklin, 1978)"
Q7558417,"Solo (Tony Williams, 1977)"
Q7784919,"Third Person Plural (James Ricketson, 1978)"
Q7979464,"Weekend of Shadows (Tom Jeffrey, 1978)"
Q138566598,Apostasy
Q5053373,"Cathy's Child (Donald Crombie, 1979)"
Q5242390,"Dawn! (Ken Hannam, 1979)"
Q5277185,"Dimboola (John Duigan, 1979)"
Q5441780,"Felicity (John D. Lamond, 1979)"
Q6010646,"In Search of Anna (Esben Storm, 1979)"
Q7743642,"The Journalist (Michael Thornhill, 1979)"
Q19874830,"Just Out of Reach (Linda Blagg, 1979)"
Q19874933,"The King of the Two Day Wonder (Kevin Anderson, 1979)"
Q6433483,"Kostas (Paul Cox, 1979)"
Q7746251,"The Last of the Knucklemen (Tim Burstall, 1979)"
Q17052523,"The Little Convict (Yoram Gross, 1979)"
Q3259052,"Long Weekend (Colin Eggleston, 1978)"
Q248775,"Mad Max (George Miller, 1979)"
Q6899176,"Money Movers (Bruce Beresford, 1978)"
Q930294,"My Brilliant Career (Gillian Armstrong, 1979)"
Q7754685,"The Odd Angry Shot (Tom Jeffrey, 1979)"
Q2415762,"The Night the Prowler (Jim Sharman, 1978)"
Q7547366,"Snapshot (Simon Wincer, 1979)"
Q4177861,"Thirst (Rod Hardy, 1979)"
Q546256,"Tim (Michael Pate, 1979)"
Q4927641,"Blood Money (Chris Fitchett, 1980)"
Q1195774,"Breaker Morant (Bruce Beresford, 1980)"
Q1757269,"The Chain Reaction (Ian Barry, 1980)"
Q7723514,"The Club (Bruce Beresford, 1980)"
Q1617093,"The Earthling (Peter Collinson, 1980)"
Q1398280,"Fatty Finn (Maurice Murphy, 1980)"
Q5449370,"Final Cut (Ross Dimsey, 1980)"
Q15039771,"Hard Knocks (Don McLennan, 1980)"
Q3127478,"Harlequin (Simon Wincer, 1980)"
Q6748794,"Manganinnie (John Honey, 1980)"
Q6796943,"Maybe This Time (Chris McGill, 1980)"
Q7033968,"Nightmares (John D. Lamond, 1980)"
Q7127973,"Palm Beach (Albie Thoms, 1980)"
Q7617526,"Stir (Stephen Wallace, 1980)"
Q7828633,"Touch and Go (Peter Maxwell, 1980)"
Q20022600,Against the Grain: More Meat Than Wheat (1981)
Q4727001,"Alison's Birthday (Ian Coughlan, 1981)"
Q5062701,"Centrespread (Tony Paterson, 1981)"
Q5287568,"Doctors and Nurses (Maurice Murphy, 1981)"
Q1077160,"Gallipoli (Peter Weir, 1981)"
Q12124668,"Grendel Grendel Grendel (Alex Stitt, 1981)"
Q5897662,"Hoodwink (Claude Whatham, 1981)"
Q7744384,"The Killing of Angel Street (Donald Crombie, 1981)"
Q1125262,"Mad Max 2 (George Miller, 1981)"
Q7122301,"Pacific Banana (John D. Lamond, 1981)"
Q3283835,"Puberty Blues (Bruce Beresford, 1981)"
Q2644733,"Race for the Yankee Zephyr (David Hemmings, 1981)"
Q3045502,"Roadgames (Richard Franklin, 1981)"
Q7428108,"Save the Lady (Leon Thau, 1982)"
Q3488530,"The Survivor (David Hemmings, 1981)"
Q8026400,"Winter of Our Dreams (John Duigan, 1981)"
Q8038627,"Wrong Side of the Road (Ned Lander, 1980)"
Q16833856,"Around the World with Dot (Yoram Gross, 1981)"
Q463579,"Attack Force Z (Tim Burstall, 1982)"
Q7717036,"The Best of Friends (Michael Robertson, 1982)"
Q4959480,"Breakfast in Paris (John D. Lamond, 1982)"
Q138787458,Corpse
Q5188864,Crosstalk (1982)
Q4656244,"A Dangerous Summer (Quentin Masters, 1982)"
Q5312255,"Duet for Four (Tim Burstall, 1982)"
Q5434525,"Far East (John Duigan, 1982)"
Q3087315,"Freedom (Scott Hicks, 1982)"
Q4449268,"Ginger Meggs (Jonathan Dawson, 1982)"
Q4178172,"Heatwave (Phillip Noyce, 1982)"
Q6671608,"Lonely Hearts (Paul Cox, 1982)"
Q2259533,"The Man from Snowy River (George T. Miller, 1982)"
Q6900738,"Monkey Grip (Ken Cameron, 1982)"
Q7021192,"Next of Kin (Tony Williams, 1982)"
Q7052513,"Norman Loves Rose (Henri Safran, 1982)"
Q731335,"The Pirate Movie (Ken Annakin, 1982)"
Q7757356,"The Plains of Heaven (Ian Pringle, 1982)"
Q7380038,"Running on Empty (John Clark, 1982)"
Q7548148,"Snow: The Movie (Robert Gibson, 1982)"
Q7582364,"Squizzy Taylor (Kevin James Dobson, 1982)"
Q7602448,"Starstruck (Gillian Armstrong, 1982)"
Q7655278,"Sweet Dreamers (Tom Cowan, 1981)"
Q3235799,"Turkey Shoot (Brian Trenchard-Smith, 1982)"
Q7977894,"We of the Never Never (Igor Auzins, 1982)"
Q8028034,"With Prejudice (Esben Storm, 1983)"
Q505148,"The Year of Living Dangerously (Peter Weir, 1982)"
Q796792,"BMX Bandits (Brian Trenchard-Smith, 1983)"
Q4984288,"Buddies (Arch Nicholson, 1983)"
Q975421,"Bush Christmas (Henri Safran, 1983)"
Q7723409,"The Clinic (David Stevens, 1982)"
Q5299711,"Double Deal (Brian Kavanagh, 1983)"
Q5317162,"Dusty (John Richardson, 1983)"
Q5447870,"Fighting Back (Michael Caulfield, 1982)"
Q5577776,"Going Down (Haydn Keenan, 1983)"
Q5583300,"Goodbye Paradise (Carl Schultz, 1983)"
Q5909290,"Hostage (Frank Shields, 1983)"
Q12125409,"Kitty and the Bagman (Donald Crombie, 1983)"
Q6746388,"Man of Flowers (Paul Cox, 1983)"
Q6842889,"Midnite Spares (Quentin Masters, 1983)"
Q6896507,"Molly (Ned Lander, 1983)"
Q6927079,"Moving Out (Michael Pattinson, 1983)"
Q7065897,"Now and Forever (Adrian Carr, 1983)"
Q4481165,"Phar Lap (Simon Wincer, 1983)"
Q7760394,"The Return of Captain Invincible (Philippe Mora, 1983)"
Q7422032,"Sarah (Yoram Gross, 1982)"
Q5038970,"Careful, He Might Hear You (Carl Schultz, 1983)"
Q4769203,"Annie's Coming Out (Gil Brealey, 1984)"
Q16851028,"The Camel Boy (Yoram Gross, 1984)"
Q7727561,"The Coolangatta Gold (Igor Auzins, 1984)"
Q16919040,"Dot and the Bunny (Yoram Gross, 1983)"
Q5436993,"Fast Talking (Ken Cameron, 1984)"
Q5510758,"Future Schlock (Barry Peak/Chris Kiely, 1984)"
Q6813921,"Melvin, Son of Alvin (John Eastway, 1984)"
Q12126390,"My First Wife (Paul Cox, 1984)"
Q369435,"One Night Stand (John Duigan, 1984)"
Q3421387,"Razorback (Russell Mulcahy, 1984)"
Q7763409,"The Settlement (Howard Rubie, 1984)"
Q7515902,"Silver City (Sophia Turkiewicz, 1984)"
Q7764834,"The Slim Dusty Movie (Rob Stewart, 1984)"
Q7599409,"Stanley (Esben Storm, 1984)"
Q7622858,"Street Hero (Michael Pattinson, 1984)"
Q7623815,"Strikebound (Richard Lowenstein, 1984)"
Q7883485,"Undercover (David Stevens, 1983)"
Q2265591,"Where the Green Ants Dream (Werner Herzog, 1984)"
Q7774853,"The Wild Duck (Henri Safran, 1983)"
Q4926832,"Bliss (Ray Lawrence, 1985)"
Q4998921,"Burke & Wills (Graeme Clifford, 1985)"
Q2663674,"The Coca-Cola Kid (Dušan Makavejev, 1985)"
Q5373662,"Emoh Ruo (Denny Lawrence, 1985)"
Q7731969,"The Empty Beach (Chris Thomson, 1985)"
Q16947425,"Epic (Yoram Gross, 1984)"
Q8565317,"Fran (Glenda Hambly, 1985)"
Q4750061,"An Indecent Obsession (Lex Marinos, 1985)"
Q426663,"Mad Max Beyond Thunderdome (George Miller/George Ogilvie, 1985)"
Q15039744,"The Naked Country (Tim Burstall, 1985)"
Q7302016,"Rebel (Michael Jenkins, 1985)"
Q7340833,"Robbery Under Arms (Donald Crombie/Ken Hannam, 1985)"
Q7766527,"The Still Point (Barbara Boyd-Anderson, 1986)"
Q4659857,"A Street to Die (Bill Bennett, 1985)"
Q7676075,"Tail of a Tiger (Rolf de Heer, 1984)"
Q1807367,"Warming Up (Bruce Best, 1983)"
Q8022462,"Wills & Burke (Bob Weis, 1985)"
Q7775106,"The Winds of Jarrah (Mark Egerton, 1983)"
Q4839678,"Backlash (Bill Bennett, 1986)"
Q7717673,"The Big Hurt (Barry Peak, 1985)"
Q5016134,"Cactus (Paul Cox, 1986)"
Q5167277,"Cool Change (George T. Miller, 1986)"
Q615254,"Crocodile Dundee (Peter Faiman, 1986)"
Q5245167,"Dead End Drive-In (Brian Trenchard-Smith, 1986)"
Q5247591,"Death of a Soldier (Philippe Mora, 1986)"
Q16918861,"Dot and Keeto (Yoram Gross, 1985)"
